label_id,label_name,gaussian_count,percentage_of_total,percentage_of_labelled
0,unlabelled,297666,61.442843578417204,
5,ceiling,56185,11.597448705775502,30.07858924804865
8,door,26289,5.426454196424886,14.073792520102359
6,sofa,25917,5.3496676712215665,13.874642654474982
10,floor,18613,3.8420096602402674,9.964452819683716
21,picture frame,14810,3.057011930809561,7.928520188014605
3,chair,9036,1.8651694670354622,4.837414477981091
13,bed,6731,1.3893819923213475,3.603434799832971
18,mirror,6074,1.25376708087355,3.2517104403781705
2,plant,6072,1.253354250092887,3.250639742175873
19,television,3106,0.6411262023696487,1.6627943081683565
1,rug,3047,0.62894769434009,1.631208711200574
4,shelf,2942,0.6072740783552821,1.5749970555799437
15,window,2438,0.5032407216282045,1.3051811086009186
12,desk,1627,0.3358378400693556,0.8710129875691939
16,wall,1549,0.3197374396234983,0.8292557576795828
11,pillow,1023,0.2111629443091277,0.5476621304752829
9,cup,431,0.08896503323287784,0.2307354625951583
7,lamp,429,0.08855220245221483,0.22966476439286057
24,table,381,0.07864426371630269,0.20396800753771535
26,fireplace,73,0.015068323494199728,0.03908048438386672
20,sink,17,0.003509061635635553,0.009100934719530607
27,curtain,4,0.0008256615613260125,0.002141396404595437
